0AA | 000000014001042E | 44:31C9                  | xor ecx,r9d                             | rcx: 789C98F7-> FFFFFF07 rflags: 203-> 282        |                                                   |
0AB | 0000000140010431 | F7D1                     | not ecx                                 | rcx: FFFFFF07-> F8                                |                                                   |
0AC | 0000000140010433 | 41:01C9                  | add r9d,ecx                             | r9: 876367F0-> 876368E8 rflags: 282-> 286         |                                                   |
0AD | 0000000140010436 | FF24CB                   | jmp qword ptr ds:[rbx+rcx*8]            |                                                   | 000000014001146F: 140010334-> 140010334           |
0AE | 0000000140010334 | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: F8-> BFFF7E87                                | 00000001400114E7: FFFFFFFEBFFF7E87-> FFFFFFFEBFFF |
0AF | 0000000140010337 | 49:83C2 04               | add r10,4                               | r10: 1400114E7-> 1400114EB rflags: 286-> 206      |                                                   |
0B0 | 000000014001033B | 44:29C9                  | sub ecx,r9d                             | rcx: BFFF7E87-> 389C159F rflags: 206-> 216        |                                                   |
0B1 | 000000014001033E | 44:31C9                  | xor ecx,r9d                             | rcx: 389C159F-> BFFF7D77 rflags: 216-> 286        |                                                   |
0B2 | 0000000140010341 | F7D1                     | not ecx                                 | rcx: BFFF7D77-> 40008288                          |                                                   |
0B3 | 0000000140010343 | 41:01C9                  | add r9d,ecx                             | r9: 876368E8-> C763EB70 rflags: 286-> 292         |                                                   |
0B4 | 0000000140010346 | 45:8B1A                  | mov r11d,dword ptr ds:[r10]             | r11: 140010C87-> FFFFFFFE                         | 00000001400114EB: FFFFFF97FFFFFFFE-> FFFFFF97FFFF |
0B5 | 0000000140010349 | 49:83C2 04               | add r10,4                               | r10: 1400114EB-> 1400114EF rflags: 292-> 202      |                                                   |
0B6 | 000000014001034D | 45:29CB                  | sub r11d,r9d                            | r11: FFFFFFFE-> 389C148E rflags: 202-> 206        |                                                   |
0B7 | 0000000140010350 | 45:31CB                  | xor r11d,r9d                            | r11: 389C148E-> FFFFFFFE rflags: 206-> 282        |                                                   |
0B8 | 0000000140010353 | 41:F7D3                  | not r11d                                | r11: FFFFFFFE-> 1                                 |                                                   |
0B9 | 0000000140010356 | 45:01D9                  | add r9d,r11d                            | r9: C763EB70-> C763EB71 rflags: 282-> 286         |                                                   |
0BA | 0000000140010359 | 49:C1E3 20               | shl r11,20                              | r11: 1-> 100000000 rflags: 286-> 206              |                                                   | r11:"愾S"
0BB | 000000014001035D | 4C:09D9                  | or rcx,r11                              | rcx: 40008288-> 140008288                         |                                                   | r11:"愾S"
0BC | 0000000140010360 | 49:83EF 08               | sub r15,8                               | r15: 15FC88-> 15FC80 rflags: 206-> 202            |                                                   |
0BD | 0000000140010364 | 49:890F                  | mov qword ptr ds:[r15],rcx              |                                                   | 000000000015FC80: 15FE30-> 140008288              |
